"288","瑞穗鄉","2013","75030","50579","187853","42893"
"289","瑞芳區","2013","370488","223228","209689","30912"
"290","瑪家鄉","2013","0","0","0","0"
"291","田中鎮","2013","820450","710855","1565485","1484263"
"292","田寮區","2013","0","18630","0","0"
"293","田尾鄉","2013","302227","320595","161972","49678"
"294","甲仙區","2013","7206","12728","9058","44270"
"296","番路鄉","2013","203232","280478","167562","131544"
"297","白沙鄉","2013","6036","6200","6557","0"
"298","白河區","2013","469797","644685","552193","517056"
"300","石岡區","2013","210644","168062","313191","141102"
"301","石碇區","2013","105729","87961","30723","115986"
"302","石門區","2013","110877","32531","31953","31953"
"303","礁溪鄉","2013","7082439","6477538","16310276","11081235"
"304","社頭鄉","2013","432489","393877","961800","987471"
"305","神岡區","2013","2228695","2910906","2460967","3722431"
"308","福興鄉","2013","203247","212915","198997","141222"
"309","秀林鄉","2013","2537","3189","7412","40691"
"310","秀水鄉","2013","774419","520790","876572","710806"
"313","竹北市","2013","0","0","0","0"
"314","竹南鎮","2013","10180128","10999676","18744212","13478604"
"315","竹塘鄉","2013","109924","55204","92235","117863"
"316","竹山鎮","2013","1027619","870821","1063101","1230573"
"317","竹崎鄉","2013","63429","19025","93867","126311"
"318","竹東鎮","2013","8778496","8477342","13901424","12990968"
"319","竹田鄉","2013","61936","19449","59028","53648"
"320","綠島鄉","2013","0","0","6050","57560"
"321","線西鄉","2013","101727","97091","160334","150427"
"323","羅東鎮","2013","7248524","6427810","8370830","9622022"
"324","美濃區","2013","540005","543558","943600","338970"
"325","義竹鄉","2013","34703","39732","86107","24597"
"327","北區","2013","55862423","56530875","62421973","49324224"
"328","東區","2013","32103236","30880322","37793822","35763288"
"329","中山區","2013","79453307","75269108","112715405","78641770"
"330","中正區","2013","59170916","61668932","71791299","120877966"
"331","信義區","2013","57809231","67429064","99045044","90136786"
"332","大安區","2013","98889370","112808109","146421285","114015671"
"333","北區","2013","55862423","56530875","62421973","49324224"
"334","南區","2013","31029976","33288863","46653703","41427907"
"335","東區","2013","32103236","30880322","37793822","35763288"
"336","臺東市","2013","0","0","0","0"
"337","臺西鄉","2013","0","0","0","0"
"338","芎林鄉","2013","545059","187334","515051","450043"
"339","芬園鄉","2013","96871","190876","68774","197758"
"340","花壇鄉","2013","1343414","938601","2672821","715094"
"341","花蓮市","2013","0","0","0","0"
"342","芳苑鄉","2013","33348","0","78041","46674"
"343","苑裡鎮","2013","1309943","851886","1070904","965837"
"344","苓雅區","2013","14995221","16112120","23095474","21642332"
"345","苗栗市","2013","0","0","0","0"
"346","茂林區","2013","0","0","0","0"
